mes_ano,ABRANGENCI,notificacoes
202211,VILA MAYOR,28
202211,VILA TONINHO,34
202212,ANCHIETA,35
202212,CAIC,24
202212,CENTRAL,46
202212,CIDADE JARDIM,34
202212,ELDORADO,25
202212,ENGENHEIRO SCHMITT,14
202212,ESTORIL,64
202212,FRATERNIDADE,7
202212,GABRIELA,14
202212,GONZAGA DE CAMPOS,15
202212,JAGUARE,61
202212,JARDIM AMERICANO,30
202212,LEALDADE E AMIZADE,35
202212,LUZ DA ESPERANCA,27
202212,MARIA LUCIA,44
202212,NOVA ESPERANCA,19
202212,PARQUE DA CIDADANIA,17
202212,PARQUE INDUSTRIAL,50
202212,RENASCER,24
202212,RIO PRETO I,21
202212,SANTO ANTONIO,47
202212,SAO DEOCLECIANO,32
202212,SAO FRANCISCO,55
202212,SOLO SAGRADO,40
202212,TALHADO,14
202212,VETORAZZO,33
202212,VILA ELVIRA,25
202212,VILA MAYOR,18
202212,VILA TONINHO,28
202301,ANCHIETA,50
202301,CAIC,38
202301,CENTRAL,66
202301,CIDADE JARDIM,40
202301,ELDORADO,41
202301,ENGENHEIRO SCHMITT,26
202301,ESTORIL,72
202301,FRATERNIDADE,13
202301,GABRIELA,32
202301,GONZAGA DE CAMPOS,24
202301,JAGUARE,63
202301,JARDIM AMERICANO,27
202301,LEALDADE E AMIZADE,48
202301,LUZ DA ESPERANCA,40
202301,MARIA LUCIA,82
202301,NOVA ESPERANCA,24
202301,PARQUE DA CIDADANIA,22
202301,PARQUE INDUSTRIAL,63
202301,RENASCER,36
202301,RIO PRETO I,38
202301,SANTO ANTONIO,78
202301,SAO DEOCLECIANO,58
202301,SAO FRANCISCO,58
202301,SOLO SAGRADO,86
202301,TALHADO,18
202301,VETORAZZO,66
202301,VILA ELVIRA,35
202301,VILA MAYOR,34
202301,VILA TONINHO,49
202302,ANCHIETA,58
202302,CAIC,54
202302,CENTRAL,69
202302,CIDADE JARDIM,64
202302,ELDORADO,44
202302,ENGENHEIRO SCHMITT,22
202302,ESTORIL,94
202302,FRATERNIDADE,10
202302,GABRIELA,49
202302,GONZAGA DE CAMPOS,39
202302,JAGUARE,59
202302,JARDIM AMERICANO,35
202302,LEALDADE E AMIZADE,44
202302,LUZ DA ESPERANCA,33
202302,MARIA LUCIA,95
202302,NOVA ESPERANCA,26
202302,PARQUE DA CIDADANIA,24
202302,PARQUE INDUSTRIAL,75
202302,RENASCER,42
202302,RIO PRETO I,33
202302,SANTO ANTONIO,59
202302,SAO DEOCLECIANO,65
202302,SAO FRANCISCO,68
202302,SOLO SAGRADO,106
202302,TALHADO,13
202302,VETORAZZO,103
202302,VILA ELVIRA,37
202302,VILA MAYOR,39
202302,VILA TONINHO,60
202303,ANCHIETA,96
202303,CAIC,134
202303,CENTRAL,128
202303,CIDADE JARDIM,171
202303,ELDORADO,115
202303,ENGENHEIRO SCHMITT,50
202303,ESTORIL,204
202303,FRATERNIDADE,29
202303,GABRIELA,80
202303,GONZAGA DE CAMPOS,77
202303,JAGUARE,126
202303,JARDIM AMERICANO,70
202303,LEALDADE E AMIZADE,95
202303,LUZ DA ESPERANCA,88
202303,MARIA LUCIA,219
202303,NOVA ESPERANCA,56
202303,PARQUE DA CIDADANIA,52
202303,PARQUE INDUSTRIAL,138
202303,RENASCER,63
202303,RIO PRETO I,60
202303,SANTO ANTONIO,159
202303,SAO DEOCLECIANO,142
202303,SAO FRANCISCO,178
202303,SOLO SAGRADO,208
202303,TALHADO,36
202303,VETORAZZO,155
202303,VILA ELVIRA,88
202303,VILA MAYOR,107
202303,VILA TONINHO,153
202304,ANCHIETA,97
202304,CAIC,97
202304,CENTRAL,138
202304,CIDADE JARDIM,141
202304,ELDORADO,127
